element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Nd,2,450.1808,450.1812+,410,5.7e+06,B+,1650.205,23857.255,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,"L3260,L3475",
Nd,2,450.6582,450.6583+,200,2.48e+06,B+,513.330,22696.870,4f4.(5I).6s,6I,9/2,4f3.5d2,4I*,11/2,,T7685,"L3260,L3475",
Nd,2,451.334,451.3329+,170,1.53e+06,C+,513.330,22663.710,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,451.636,451.6346+,250,3.92e+06,B+,2585.460,24721.045,4f4.(5I).6s,6I,13/2,,4I*,13/2,,T7685,L3475,
Nd,1,452.725,,120,,,,,,,,,,,,,L3475,
Nd,2,454.1269,454.1270+,340,4.9e+06,C+,3066.755,25080.855,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,"L3260,L3475",
Nd,2,454.261,454.2600+,340,9.5e+06,B+,5985.580,27993.235,4f4.(5I).6s,4I,15/2,,*,17/2,,T7685,L3475,
Nd,2,455.6136,455.6133+,100,1.17e+06,B,513.330,22455.615,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,"L3260,L3475",
Nd,1,455.967,,170,,,,,,,,,,,,,L3475,
Nd,2,456.322,456.3220+,340,3.53e+06,B+,1470.105,23378.315,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475,
Nd,2,457.889,457.8886+,200,,,2585.460,24418.715,4f4.(5I).6s,6I,13/2,,*,13/2,,,L3475,
Nd,2,457.932,457.9314+,200,6.5e+06,B+,5985.580,27816.795,4f4.(5I).6s,4I,15/2,,*,15/2,,T7685,L3475,
Nd,1,458.662,,100,,,,,,,,,,,,,L3475,
Nd,2,459.7013,459.7014+,200,2.82e+06,B+,1650.205,23397.365,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,"L3260,L3475",
Nd,1,460.382,,100,,,,,,,,,,,,,L3475,
Nd,1,460.987,,100,,,,,,,,,,,,,L3475,
Nd,1,462.194,462.1932+,300,5.6e+07,,2366.597,23996.513,4f4.6s2,5I,6,,*,6,,T7227,L3475,
Nd,1,462.798,,100,,,,,,,,,,,,,L3475,
Nd,1,463.424,463.4210+,510,8.4e+07,,0.000,21572.610,4f4.6s2,5I,4,4f4.6s.6p,5H*,3,,T7227,L3475,
Nd,1,464.110,,340,,,,,,,,,,,,,L3475,
Nd,2,464.577,464.5760+,250,3.35e+06,B+,4512.495,26031.475,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475,
Nd,1,464.640,,200,,,,,,,,,,,,,L3475,
Nd,1,464.967,,300,,,,,,,,,,,,,L3475,
Nd,1,465.473,,200,,,,,,,,,,,,,L3475,
Nd,2,467.056,467.0559+,130,1.59e+06,B+,513.330,21918.050,4f4.(5I).6s,6I,9/2,,4H*,9/2,,T7685,L3475,
Nd,2,468.0734,468.0737+,170,,,513.330,21871.510,4f4.(5I).6s,6I,9/2,,*,7/2,,,"L3260,L3475",
Nd,1,468.345,468.3502+,310,5.2e+07,,0.000,21345.572,4f4.6s2,5I,4,,*,6,,T7227,L3475,
Nd,1,468.404,,110,,,,,,,,,,,,,L3475,
Nd,1,469.035,,110,,,,,,,,,,,,,L3475,
Nd,1,469.644,,190,,,,,,,,,,,,,L3475,
Nd,2,470.3576,470.3572+,130,3.05e+06,B+,3066.755,24321.245,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,470.6542,470.6543+,470,9.8e+06,B+,0.000,21241.075,4f4.(5I).6s,6I,7/2,4f3.5d.6s,6H*,5/2,,T7685,"L3260,L3475",
Nd,1,470.696,,140,,,,,,,,,,,,,L3475,
Nd,2,470.9714,470.9716+,190,2.70e+06,B+,1470.105,22696.870,4f4.(5I).6s,6I,11/2,4f3.5d2,4I*,11/2,,T7685,"L3260,L3475",
Nd,2,471.5589,471.5586+,190,4.74e+06,B+,1650.205,22850.545,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,"L3260,L3475",
Nd,1,471.902,471.9027+,240,3.3e+07,,0.000,21184.881,4f4.6s2,5I,4,,*,4,,T7227,L3475,
Nd,2,472.435,472.4357+,190,7.9e+06,B+,5985.580,27146.560,4f4.(5I).6s,4I,15/2,,*,13/2,,T7685,L3475,
Nd,1,473.177,,140,,,,,,,,,,,,,L3475,
Nd,1,477.946,,120,,,,,,,,,,,,,L3475,
Nd,2,478.941,478.9428+,170,,,2585.460,23458.945,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475,
Nd,2,479.7157,479.7153+,120,4.9e+06,B+,4512.495,25352.365,4f4.(5I).6s,4I,13/2,,*,11/2,,T7685,"L3260,L3475",
Nd,2,481.1343,481.1342+,240,,,513.330,21291.745,4f4.(5I).6s,6I,9/2,,*,7/2,,,"L3260,L3475",
Nd,2,482.034,482.0339+,140,4.36e+06,B+,1650.205,22389.840,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,L3475,
Nd,2,482.5482,482.5478+,350,1.08e+07,B+,1470.105,22187.650,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,483.228,483.2274+,130,,,4512.495,25200.905,4f4.(5I).6s,4I,13/2,,*,11/2,,,L3475,
Nd,2,484.906,484.9062+,110,,,3801.930,24418.715,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475,
Nd,2,485.9030,485.9026+,280,8.6e+06,B+,2585.460,23159.970,4f4.(5I).6s,6I,13/2,,*,11/2,,T7685,"L3260,L3475",
Nd,1,486.674,,190,,,,,,,,,,,,,L3475,
Nd,1,488.381,488.3811+,350,8.8e+07,,5048.602,25518.700,4f4.6s2,5I,8,4f4.6s.6p,5K*,9,,T6288,L3475,
Nd,2,488.910,488.9102+,140,3.60e+06,B+,1470.105,21918.050,4f4.(5I).6s,6I,11/2,,4H*,9/2,,T7685,L3475,
Nd,2,489.070,489.0695+,220,7.1e+06,B+,3801.930,24243.215,4f4.(5I).6s,6I,15/2,,*,13/2,,T7685,L3475,
Nd,1,489.107,,240,,,,,,,,,,,,,L3475,
Nd,1,489.693,489.6927+,280,5.9e+07,,1128.056,21543.326,4f4.6s2,5I,5,4f4.6s.6p,5K*,6,,T6288,L3475,
Nd,1,490.153,,120,,,,,,,,,,,,,L3475,
Nd,1,490.184,,210,,,,,,,,,,,,,L3475,
Nd,2,490.2041,490.2037+,110,1.06e+06,B+,513.330,20907.320,4f4.(5I).6s,6I,9/2,4f3.5d2,4K*,11/2,,T7685,"L3260,L3475",
Nd,1,491.341,,190,,,,,,,,,,,,,L3475,
Nd,2,491.4385,491.4382+,170,5.5e+06,B+,3066.755,23409.515,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,492.0692,492.0685+,330,8.9e+06,B+,513.330,20830.030,4f4.(5I).6s,6I,9/2,4f3.5d2,4H*,7/2,,T7685,"L3260,L3475",
Nd,1,492.453,492.4521+,470,9.0e+07,,0.000,20300.875,4f4.6s2,5I,4,4f4.6s.6p,5K*,5,,T7227,L3475,
Nd,1,494.483,494.4826+,260,6.7e+07,,1128.056,21345.572,4f4.6s2,5I,5,,*,6,,T7227,L3475,
Nd,1,495.478,495.4777+,290,2.9e+07,,0.000,20176.912,4f4.6s2,5I,4,,*,5,,T7227,L3475,
Nd,2,495.8139,495.8140+,50,1.55e+06,B+,3066.755,23229.980,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,6K*,9/2,,T7685,"L3260,L3475",
Nd,2,495.9130,495.9119+,290,4.31e+06,B+,513.330,20672.575,4f4.(5I).6s,6I,9/2,4f3.5d2,4I*,9/2,,T7685,"L3260,L3475",
Nd,2,496.1396,496.1387+,150,,,5085.640,25235.670,4f4.(5I).6s,6I,17/2,,*,15/2,,,"L3260,L3475",
Nd,2,498.994,498.9950+,250,,,5085.640,25120.330,4f4.(5I).6s,6I,17/2,4f3.5d.6s,*,15/2,,,L3475,
Nd,2,503.3517,503.3507+,150,4.9e+06,B,9166.210,29027.535,4f4.(5I).5d,6L,19/2,,*,17/2,,T7685,"L3260,L3475",
Nd,2,506.373,506.3722+,110,3.9e+06,B,7868.910,27611.725,4f4.(5I).5d,6L,17/2,,*,15/2,,T7685,L3475,
Nd,2,507.659,507.6580+,360,,,5985.580,25678.390,4f4.(5I).6s,4I,15/2,,*,17/2,,,L3475,
Nd,2,508.9837,508.9832+,150h,,,1650.205,21291.745,4f4.(5I).6s,4I,9/2,,*,7/2,,,"L3260,L3475",
Nd,2,509.2797,509.2794+,360,5.3e+06,B+,3066.755,22696.870,4f4.(5I).6s,4I,11/2,4f3.5d2,4I*,11/2,,T7685,"L3260,L3475",
Nd,2,510.2393,510.2390+,180,,,5487.655,25080.855,4f4.(5I).5d,6L,13/2,,*,11/2,,,"L3260,L3475",
Nd,2,510.521,510.5226+,150D,3.5e+06,B,9166.210,28748.525,4f4.(5I).5d,6L,19/2,,*,17/2,,T7685,L3475,
Nd,2,510.7585,510.7575+,360,7.8e+06,B,6637.430,26210.740,4f4.(5I).5d,6L,15/2,,*,13/2,,T7685,"L3260,L3475",
Nd,2,512.379,512.3779+,340,4.42e+06,B+,3066.755,22578.165,4f4.(5I).6s,4I,11/2,4f3.5d2,4K*,13/2,,T7685,L3475,
Nd,2,513.0596,513.0586+,680,3.5e+07,B,10516.790,30002.310,4f4.(5I).5d,6L,21/2,4f4.(5I).6p,6K*,19/2,,T7685,"L3260,L3475",
Nd,2,513.233,513.2328+,170,3.49e+06,B+,4512.495,23991.405,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475,
Nd,2,516.5140,516.5129+,170,,,5487.655,24842.865,4f4.(5I).5d,6L,13/2,,*,11/2,,,"L3260,L3475",
Nd,2,518.1165,518.1169+,130,,,6931.800,26227.090,4f4.(5I).5d,6K,11/2,,*,9/2,,,"L3260,L3475",
Nd,2,518.2603,518.2587+,120,3.8e+06,B,6005.270,25295.280,4f4.(5I).5d,6K,9/2,,*,7/2,,T7685,"L3260,L3475",
Nd,2,519.1448,519.1440+,500,4.9e+06,B+,1650.205,20907.320,4f4.(5I).6s,4I,9/2,4f3.5d2,4K*,11/2,,T7685,"L3260,L3475",
Nd,2,519.2621,519.2614+,630,2.54e+07,B,9166.210,28418.970,4f4.(5I).5d,6L,19/2,4f4.(5I).6p,6K*,17/2,,T7685,"L3260,L3475",
Nd,2,520.012,520.0121+,330,,,4512.495,23737.465,4f4.(5I).6s,4I,13/2,4f3.5d2,*,15/2,,,L3475,
Nd,2,521.2365,521.2361+,310,3.40e+06,B+,1650.205,20830.030,4f4.(5I).6s,4I,9/2,4f3.5d2,4H*,7/2,,T7685,"L3260,L3475",
Nd,1,521.323,,150,,,,,,,,,,,,,L3475,
Nd,2,522.5045,522.5041+,130,,,6005.270,25138.550,4f4.(5I).5d,6K,9/2,,*,7/2,,,"L3260,L3475",
Nd,2,522.8427,522.8425+,130,1.28e+06,B+,3066.755,22187.650,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,523.4195,523.4194+,450,7.4e+06,B+,4437.560,23537.380,4f4.(5I).5d,6L,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,523.979,523.9795+,250,,,4512.495,23591.900,4f4.(5I).6s,4I,13/2,,*,15/2,,,L3475,
Nd,2,524.9585,524.9576+,720,2.42e+07,B,7868.910,26912.765,4f4.(5I).5d,6L,17/2,4f4.(5I).6p,6K*,15/2,,T7685,"L3260,L3475",
Nd,2,525.0816,525.0812+,200,5.7e+06,B,6005.270,25044.645,4f4.(5I).5d,6K,9/2,4f4.(5I).6p,6I*,7/2,,T7685,"L3260,L3475",
Nd,2,525.5510,525.5506+,360,5.2e+06,B+,1650.205,20672.575,4f4.(5I).6s,4I,9/2,4f3.5d2,4I*,9/2,,T7685,"L3260,L3475",
Nd,2,526.948,526.9472+,120,,,4437.560,23409.515,4f4.(5I).5d,6L,11/2,,*,9/2,,,L3475,
Nd,2,527.3431,527.3427+,590,,,5487.655,24445.380,4f4.(5I).5d,6L,13/2,4f4.(5I).6p,6K*,11/2,,,"L3260,L3475",
Nd,2,527.6879,527.6869+,150,1.2e+07,E,6931.800,25877.160,4f4.(5I).5d,6K,11/2,4f4.(5I).6p,6I*,9/2,,T4515,"L3260,L3475",
Nd,1,529.167,,110,,,,,,,,,,,,,L3475,
Nd,2,529.3168,529.3163+,680,2.12e+07,B,6637.430,25524.470,4f4.(5I).5d,6L,15/2,4f4.(5I).6p,6K*,13/2,,T7685,"L3260,L3475",
Nd,2,530.2279,530.2276+,160,9.6e+06,B,11392.190,30246.770,4f4.(5I).5d,6K,19/2,4f4.(5I).6p,6I*,17/2,,T7685,"L3260,L3475",
Nd,2,530.6472,530.6460+,110,,,6931.800,25771.515,4f4.(5I).5d,6K,11/2,,*,9/2,,,"L3260,L3475",
Nd,2,531.1461,531.1453+,220,7.5e+06,B,7950.075,26772.080,4f4.(5I).5d,6K,13/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475",
Nd,2,531.9818,531.9815+,500,1.72e+07,B,4437.560,23229.980,4f4.(5I).5d,6L,11/2,4f4.(5I).6p,6K*,9/2,,T7685,"L3260,L3475",
Nd,2,535.6976,535.6967+,180,7.5e+06,B,10194.805,28856.895,4f4.(5I).5d,6K,17/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475",
Nd,2,536.1474,536.1467+,290,,,5487.655,24134.080,4f4.(5I).5d,6L,13/2,,*,11/2,,,"L3260,L3475",
Nd,2,537.1935,537.1927+,150,1.15e+07,B,11392.190,30002.310,4f4.(5I).5d,6K,19/2,4f4.(5I).6p,6K*,19/2,,T7685,"L3260,L3475",
Nd,2,538.590,538.5888+,110,,,5985.580,24547.460,4f4.(5I).6s,4I,15/2,,4K*,15/2,,,L3475,
Nd,2,543.1526,543.1516+,160,5.4e+06,B,9042.760,27448.710,4f4.(5I).5d,6K,15/2,4f4.6p,*,13/2,,T7685,"L3260,L3475",
Nd,2,545.112,545.1109+,110,,,3066.755,21406.550,4f4.(5I).6s,4I,11/2,,*,13/2,,,L3475,
Nd,2,548.5699,548.5696+,170,9.4e+06,C+,10194.805,28418.970,4f4.(5I).5d,6K,17/2,4f4.(5I).6p,6K*,17/2,,T7685,"L3260,L3475",
Nd,1,550.147,,35,,,,,,,,,,,,,L3475,
Nd,1,552.572,,45,,,,,,,,,,,,,L3475,
Nd,1,553.382,,90,,,,,,,,,,,,,L3475,
Nd,2,553.527,553.5197+,55*,,,16610.550,34671.738,4f4.(3K2).6s,4K,17/2,,*,15/2,,,L3475,
Nd,2,553.527,553.5279+,55*,,,18831.200,36892.120,4f3.5d2,6K*,9/2,,,9/2,,,L3475,
Nd,2,553.527,553.5322+,55*,2.3e+06,C+,11373.475,29434.255,4f4.(5I).5d,6I,15/2,4f4.(5I).6p,6H*,13/2,,T7685,L3475,
Nd,1,554.324,,55,,,,,,,,,,,,,L3475,
Nd,2,554.8474,554.8448+,55,1.16e+06,C+,4437.560,22455.615,4f4.(5I).5d,6L,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,1,556.117,,55,,,,,,,,,,,,,L3475,
Nd,1,557.550,,27,,,,,,,,,,,,,L3475,
Nd,1,557.670,,27,,,,,,,,,,,,,L3475,
Nd,1,557.770,,27,,,,,,,,,,,,,L3475,
Nd,1,558.761,,27,,,,,,,,,,,,,L3475,
Nd,2,559.4425,559.4416+,240,9.3e+06,B,9042.760,26912.765,4f4.(5I).5d,6K,15/2,4f4.(5I).6p,6K*,15/2,,T7685,"L3260,L3475",
Nd,1,560.143,,55,,,,,,,,,,,,,L3475,
Nd,1,560.192,,45,,,,,,,,,,,,,L3475,
Nd,1,562.054,,220,,,,,,,,,,,,,L3475,
Nd,2,562.054,562.0594+,220,1.3e+07,E,12459.995,30246.770,4f4.(5I).5d,6I,17/2,4f4.(5I).6p,6I*,17/2,,T4515,L3475,
Nd,1,563.576,,65,,,,,,,,,,,,,L3475,
Nd,1,563.954,,45,,,,,,,,,,,,,L3475,
Nd,1,565.357,,35,,,,,,,,,,,,,L3475,
Nd,2,566.8868,566.8857+,70,5.6e+06,B,11392.190,29027.535,4f4.(5I).5d,6K,19/2,,*,17/2,,T7685,"L3260,L3475",
Nd,1,566.977,,65,,,,,,,,,,,,,L3475,
Nd,1,567.597,,140bl,,,,,,,,,,,,,L3475,
Nd,1,567.633,,55,,,,,,,,,,,,,L3475,
Nd,2,568.8525,568.8518+,220,7.3e+06,B,7950.075,25524.470,4f4.(5I).5d,6K,13/2,4f4.(5I).6p,6K*,13/2,,T7685,"L3260,L3475",
Nd,1,568.951,,23,,,,,,,,,,,,,L3475,
Nd,1,570.157,,30,,,,,,,,,,,,,L3475,
Nd,2,570.2244,570.2238+,130,2.73e+06,B,6005.270,23537.380,4f4.(5I).5d,6K,9/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,570.6206,570.6209+,80,,,7524.735,25044.645,4f4.(5I).5d,6I,7/2,4f4.(5I).6p,6I*,7/2,,,"L3260,L3475",
Nd,2,570.8280,570.8271+,160,,,6931.800,24445.380,4f4.(5I).5d,6K,11/2,4f4.(5I).6p,6K*,11/2,,,"L3260,L3475",
Nd,2,571.8120,571.8118+,80,5.1e+06,B,11373.475,28856.895,4f4.(5I).5d,6I,15/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475",
Nd,2,572.6825,572.6825+,65,3.1e+06,B,8420.320,25877.160,4f4.(5I).5d,6I,9/2,4f4.(5I).6p,6I*,9/2,,T7685,"L3260,L3475",
Nd,1,572.929,,100,,,,,,,,,,,,,L3475,
Nd,2,574.0862,574.0858+,70,5.0e+06,B,9357.910,26772.080,4f4.(5I).5d,6I,11/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475",
Nd,1,574.919,,55,,,,,,,,,,,,,L3475,
Nd,1,574.966,,27,,,,,,,,,,,,,L3475,
Nd,1,576.733,,23,,,,,,,,,,,,,L3475,
Nd,1,577.612,,45,,,,,,,,,,,,,L3475,
Nd,1,578.496,,45,,,,,,,,,,,,,L3475,
Nd,1,578.822,,45,,,,,,,,,,,,,L3475,
Nd,1,580.009,,45,,,,,,,,,,,,,L3475,
Nd,2,580.4020,580.4004+,160,5.9e+06,B,6005.270,23229.980,4f4.(5I).5d,6K,9/2,4f4.(5I).6p,6K*,9/2,,T7685,"L3260,L3475",
Nd,2,581.1572,581.1572+,80,,,6931.800,24134.080,4f4.(5I).5d,6K,11/2,,*,11/2,,,"L3260,L3475",
Nd,1,581.389,,45,,,,,,,,,,,,,L3475,
Nd,1,582.037,,27,,,,,,,,,,,,,L3475,
Nd,2,582.5872,582.5857+,70,,,8716.445,25876.545,4f4.(5I).5d,6G,3/2,4f4.(5I).6p,6H*,5/2,,,"L3260,L3475",
Nd,1,582.674,,30,,,,,,,,,,,,,L3475,
Nd,2,584.2391,584.2366+,80,,,10337.100,27448.710,4f4.(5I).5d,6I,13/2,4f4.6p,*,13/2,,,"L3260,L3475",
Nd,1,584.466,,30,,,,,,,,,,,,,L3475,
Nd,1,584.595,,23,,,,,,,,,,,,,L3475,
Nd,1,585.891,,55,,,,,,,,,,,,,L3475,
Nd,2,586.5057,586.5027+,150,1.3e+06,E,11373.475,28418.970,4f4.(5I).5d,6I,15/2,4f4.(5I).6p,6K*,17/2,,T4515,"L3260,L3475",
Nd,1,586.708,,35,,,,,,,,,,,,,L3475,
Nd,1,586.890,,30,,,,,,,,,,,,,L3475,
Nd,1,587.104,,27,,,,,,,,,,,,,L3475,
Nd,1,588.329,,30,,,,,,,,,,,,,L3475,
Nd,1,588.624,,23,,,,,,,,,,,,,L3475,
Nd,1,588.791,,30,,,,,,,,,,,,,L3475,
Nd,1,592.122,,27,,,,,,,,,,,,,L3475,
Nd,1,595.587,,27,,,,,,,,,,,,,L3475,
Nd,1,599.476,,30,,,,,,,,,,,,,L3475,
Nd,1,599.647,,27,,,,,,,,,,,,,L3475,
Nd,1,600.767,,45,,,,,,,,,,,,,L3475,
Nd,2,603.1266,603.1270+,35,,,10337.100,26912.765,4f4.(5I).5d,6I,13/2,4f4.(5I).6p,6K*,15/2,,,"L3260,L3475",
Nd,1,603.329,,27,,,,,,,,,,,,,L3475,
Nd,2,603.4239,603.4228+,45,,,12459.995,29027.535,4f4.(5I).5d,6I,17/2,,*,17/2,,,"L3260,L3475",
Nd,2,605.1875,605.1868+,40,1.1e+06,E,9357.910,25877.160,4f4.(5I).5d,6I,11/2,4f4.(5I).6p,6I*,9/2,,T4515,L3260,
Nd,1,606.603,,55,,,,,,,,,,,,,L3475,
Nd,1,607.170,,27,,,,,,,,,,,,,L3475,
Nd,1,607.397,,30,,,,,,,,,,,,,L3475,
Nd,2,613.347,613.3452+,23D*,,,14481.970,30781.490,4f4.(5I).5d,6H,15/2,4f4.6p,*,17/2,,,L3475,
Nd,2,613.358,613.3584+,23D*,,,14957.600,31256.770,4f4.(5I).5d,4K,15/2,,*,13/2,,,L3475,
Nd,1,614.928,,27,,,,,,,,,,,,,L3475,
Nd,1,615.506,,27,,,,,,,,,,,,,L3475,
Nd,2,615.783,615.7822+,35,,,4437.560,20672.575,4f4.(5I).5d,6L,11/2,4f3.5d2,4I*,9/2,,,L3475,
Nd,2,616.667,616.6651+,23,,,11709.615,27921.385,4f4.(5I).5d,6H,9/2,4f4.(5I).6p,4I*,9/2,,,L3475,
Nd,2,617.0486,617.0480+,35,,,9674.835,25876.545,4f4.(5I).5d,6H,5/2,4f4.(5I).6p,6H*,5/2,,,"L3260,L3475",
Nd,1,617.859,,45,,,,,,,,,,,,,L3475,
Nd,2,618.3907,618.3897+,27,1.48e+06,C+,9357.910,25524.470,4f4.(5I).5d,6I,11/2,4f4.(5I).6p,6K*,13/2,,T7685,"L3260,L3475",
Nd,1,620.824,,27,,,,,,,,,,,,,L3475,
Nd,1,622.339,,45,,,,,,,,,,,,,L3475,
Nd,1,622.650,,27,,,,,,,,,,,,,L3475,
Nd,2,623.8499,623.8500+,23,,,8420.320,24445.380,4f4.(5I).5d,6I,9/2,4f4.(5I).6p,6K*,11/2,,,"L3260,L3475",
Nd,1,624.408,,35,,,,,,,,,,,,,L3475,
Nd,1,625.749,,23,,,,,,,,,,,,,L3475,
Nd,2,625.873,625.8716+,27,,,10666.780,26640.080,4f4.(5I).5d,6H,7/2,4f4.(5I).6p,6H*,7/2,,,L3475,
Nd,2,627.729,627.7367+,23*,,,16295.730,32221.570,4f4.(5I).5d,4K,17/2,,*,15/2,,,L3475,
Nd,2,627.729,627.7273+,23*,,,15749.215,31675.295,4f4.(5I).5d,4L,19/2,4f4.(5I).6p,4K*,17/2,,,L3475,
Nd,1,628.579,,27,,,,,,,,,,,,,L3475,
Nd,2,629.284,629.2816+,23*,,,1470.105,17356.849,4f4.(5I).6s,6I,11/2,,*,9/2,,,L3475,
Nd,2,629.284,629.2817+,23*,,,13597.865,29484.605,4f4.(5I).5d,4K,13/2,4f4.(5I).6p,4I*,11/2,,,L3475,
Nd,1,629.707,,23,,,,,,,,,,,,,L3475,
Nd,1,631.049,,55,,,,,,,,,,,,,L3475,
Nd,2,634.1507,634.1492+,27,,,14481.970,30246.770,4f4.(5I).5d,6H,15/2,4f4.(5I).6p,6I*,17/2,,,"L3260,L3475",
Nd,2,638.207,638.2063+,23,,,11580.865,27245.450,4f4.(5I).5d,4L,13/2,4f4.(5I).6p,4K*,11/2,,,L3475,
Nd,2,638.5196,638.5187+,65,,,12906.565,28563.485,4f4.(5I).5d,4L,15/2,4f4.(5I).6p,4K*,13/2,,,"L3260,L3475",
Nd,1,648.569,,35,,,,,,,,,,,,,L3475,
Nd,1,663.014,,45,,,,,,,,,,,,,L3475,
Nd,2,663.796,663.7958+,35,,,14301.805,29362.520,4f4.(5I).5d,4L,17/2,,*,15/2,,,L3475,
Nd,2,665.057,665.0583+,45*,,,27103.835,42135.960,,*,11/2,4f3.6s.6p,6K,9/2,,,L3475,
Nd,2,665.057,665.0517+,45*,,,15749.215,30781.490,4f4.(5I).5d,4L,19/2,4f4.6p,*,17/2,,,L3475,
Nd,1,665.567,,30,,,,,,,,,,,,,L3475,
Nd,2,673.779,673.7763+,25,,,12906.565,27744.190,4f4.(5I).5d,4L,15/2,4f4.(5I).6p,6I*,13/2,,,L3475,
Nd,2,674.011,674.0078+,40,,,513.330,15345.860,4f4.(5I).6s,6I,9/2,4f3.5d2,6H*,7/2,,,L3475,
Nd,1,674.254,,25,,,,,,,,,,,,,L3475,
Nd,2,679.037,679.0372+,30,,,1470.105,16192.775,4f4.(5I).6s,6I,11/2,4f3.5d.6s,6G*,9/2,,,L3475,
Nd,2,680.400,680.3980+,30,,,11580.865,26274.090,4f4.(5I).5d,4L,13/2,,*,11/2,,,L3475,
Nd,2,684.672,684.6764+,25*,,,2585.460,17186.870,4f4.(5I).6s,6I,13/2,4f3.5d.6s,2I*,11/2,,,L3475,
Nd,2,684.672,684.6668+,25*,,,11580.865,26182.480,4f4.(5I).5d,4L,13/2,,*,11/2,,,L3475,
Nd,2,690.043,690.0441+,40,,,0.000,14487.830,4f4.(5I).6s,6I,7/2,4f3.5d2,6H*,5/2,,,L3475,
Nd,2,694.139,694.1382+,24,,,12906.565,27308.945,4f4.(5I).5d,4L,15/2,,*,13/2,,,L3475,
Nd,2,701.080,701.0702+,17h,,,22358.065,36618.040,,*,9/2,4f3.5d.6p,,11/2,,,L3475,
Nd,2,701.885,701.8865+,8,,,8420.320,22663.710,4f4.(5I).5d,6I,9/2,,*,9/2,,,L3475,
Nd,2,702.092,702.0960+,17,,,14301.805,28540.945,4f4.(5I).5d,4L,17/2,,*,15/2,,,L3475,
Nd,2,702.458,702.4596+,17,,,2585.460,16817.230,4f4.(5I).6s,6I,13/2,4f3.5d2,4K*,11/2,,,L3475,
Nd,2,703.730,703.7336+,35,,,3801.930,18007.935,4f4.(5I).6s,6I,15/2,4f3.5d2,6H*,13/2,,,L3475,
Nd,2,705.214,705.2144+,7,,,9877.165,24053.340,4f4.(5I).5d,,9/2,,*,9/2,,,L3475,
Nd,2,705.474,705.4750+,7,,,16610.550,30781.490,4f4.(3K2).6s,4K,17/2,4f4.6p,*,17/2,,,L3475,
Nd,2,706.147,706.1497+,7,,,10887.245,25044.645,4f4.(5I).5d,4G,5/2,4f4.(5I).6p,6I*,7/2,,,L3475,
Nd,2,706.689,706.6893+,40,,,5085.640,19232.230,4f4.(5I).6s,6I,17/2,4f3.5d2,6H*,15/2,,,L3475,
Nd,2,708.293,708.2942+,8,,,2585.460,16699.995,4f4.(5I).6s,6I,13/2,4f3.(4I*).5d2.(3F),6I*,15/2,,,L3475,
Nd,2,708.971,708.9723+,12h,,,9357.910,23458.945,4f4.(5I).5d,6I,11/2,,*,11/2,,,L3475,
Nd,2,709.274,709.2701+,12h*,,,13703.425,27798.540,4f4.(5I).5d,4G,9/2,,*,11/2,,,L3475,
Nd,2,709.274,709.2716+,12h*,,,2585.460,16680.545,4f4.(5I).6s,6I,13/2,4f3.5d2,6H*,11/2,,,L3475,
Nd,2,709.274,709.2731+,12h*,,,9908.645,24003.700,4f4.(5I).5d,,7/2,,*,9/2,,,L3475,
Nd,2,709.274,709.2746+,12h*,,,14259.380,28354.405,4f4.(5I).5d,,13/2,,*,13/2,,,L3475,
Nd,1,709.398,,17w,,,,,,,,,,,,,L3475,
Nd,1,709.542,,20w,,,,,,,,,,,,,L3475,
Nd,2,712.935,712.9359+,29,,,1470.105,15492.745,4f4.(5I).6s,6I,11/2,4f3.5d2,6H*,9/2,,,L3475,
